RT Treatment Days,RT Dose (Gy),anti-PD-1 Treatment Days,anti-PD-1 Dose (mg),anti-CTLA-4 Treatment Days,anti-CTLA-4 Dose (mg),Mean TCP,Mean Time to reach Minimum Tumour Cell Count,List of TCPs,List of Times to Reach Minimum Tumour Cell Count
[10],[15.44206112],[10],0,[10],0,0.5,9.015,"[1.00000000e+000 2.19157007e-067 4.26577897e-213 0.00000000e+000
 1.00000000e+000 1.00000000e+000 0.00000000e+000 1.00000000e+000
 1.00000000e+000 1.18506486e-027]",[10.   10.   10.05 10.   10.   10.    0.   10.   10.   10.1 ]
[11],[15.44206112],[10],0,[10],0,0.40000000413993775,9.93,"[1.00000000e+000 5.75465605e-300 0.00000000e+000 0.00000000e+000
 1.00000000e+000 4.13993772e-008 0.00000000e+000 1.00000000e+000
 1.00000000e+000 2.80090916e-205]",[11.   11.   11.   11.   11.   11.05  0.   11.   11.   11.25]
[12],[15.44206112],[10],0,[10],0,0.18060418502983902,10.865,"[1.00000000e+000 0.00000000e+000 0.00000000e+000 0.00000000e+000
 2.19092700e-001 1.79214350e-187 0.00000000e+000 2.19069709e-001
 3.67879441e-001 0.00000000e+000]",[12.   12.   12.   12.   12.   12.15  0.   12.   12.5  12.  ]
[13],[15.44206112],[10],0,[10],0,0.11178897756244621,12.09,"[1.         0.         0.         0.         0.04978707 0.
 0.         0.04978707 0.01831564 0.        ]",[13.   13.   13.   13.   14.8  13.    0.   15.05 13.05 13.  ]
[14],[15.44206112],[10],0,[10],0,0.10021592265590115,11.475,"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.35462628e-04 0.00000000e+00 0.00000000e+00 9.11881966e-04
 9.11881966e-04 0.00000000e+00]",[14.   14.    0.   14.   15.15 14.    0.   14.8  14.8  14.  ]
[15],[15.44206112],[10],0,[10],0,0.036787953920017644,10.55,"[3.67879441e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.13993772e-08 0.00000000e+00 0.00000000e+00 4.13993772e-08
 1.52299797e-08 0.00000000e+00]",[15.05 15.    0.    0.   15.35 15.    0.   15.05 15.05 15.  ]
[16],[15.44206112],[10],0,[10],0,5.0303581396233954e-05,11.28,"[5.03035814e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.44247711e-14 0.00000000e+00 0.00000000e+00 2.41386235e-15
 2.41391763e-15 0.00000000e+00]",[16.  16.   0.   0.  16.8 16.   0.  16.  16.  16. ]
[17],[15.44206112],[10],0,[10],0,2.5436656473776366e-14,6.82,"[2.54366565e-13 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.38026641e-26 0.00000000e+00 0.00000000e+00 2.38026641e-26
 2.38026641e-26 0.00000000e+00]",[17.05  0.    0.    0.   17.05  0.    0.   17.05 17.05  0.  ]
[18],[15.44206112],[10],0,[10],0,4.6525785937624165e-39,7.2,"[4.65256899e-38 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.22959752e-44 0.00000000e+00 0.00000000e+00 3.18685075e-44
 3.18685155e-44 0.00000000e+00]",[18.  0.  0.  0. 18.  0.  0. 18. 18.  0.]
[19],[15.44206112],[10],0,[10],0,2.311478991498055e-72,7.6,"[2.68063647e-91 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.85967551e-72 0.00000000e+00 0.00000000e+00 7.62653611e-72
 7.62857830e-72 0.00000000e+00]",[19.  0.  0.  0. 19.  0.  0. 19. 19.  0.]
