RT Treatment Days,RT Dose (Gy),anti-PD-1 Treatment Days,anti-PD-1 Dose (mg),anti-CTLA-4 Treatment Days,anti-CTLA-4 Dose (mg),Mean TCP,Mean Time to reach Minimum Tumour Cell Count,List of TCPs,List of Times to Reach Minimum Tumour Cell Count
[10],[15.44206112],[10],0.6,[10],0.2,0.3333333333333333,10.1,[1. 0. 0.],[10.  10.  10.3]
[10],[15.44206112],[11],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[12],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[13],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[14],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[15],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[16],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[17],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[18],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[19],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[20],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[21],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[22],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[23],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[24],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[25],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[26],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[27],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[28],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[29],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[10],[15.44206112],[30],0.6,[10],0.2,0.3333333333333333,10.0,[1. 0. 0.],[10. 10. 10.]
[11],[15.44206112],[10],0.6,[10],0.2,0.3333333333333333,11.1,[1. 0. 0.],[11.  11.  11.3]
[11],[15.44206112],[11],0.6,[10],0.2,0.3333333333333333,11.1,[1. 0. 0.],[11.  11.  11.3]
[11],[15.44206112],[12],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[13],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[14],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[15],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[16],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[17],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[18],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[19],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[20],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[21],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[22],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[23],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[24],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[25],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[26],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[27],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[28],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[29],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[11],[15.44206112],[30],0.6,[10],0.2,0.3333333333333333,11.0,[1. 0. 0.],[11. 11. 11.]
[12],[15.44206112],[10],0.6,[10],0.2,0.3333333333333333,12.083333333333334,[1. 0. 0.],[12.   12.   12.25]
[12],[15.44206112],[11],0.6,[10],0.2,0.3333333333333333,12.083333333333334,[1. 0. 0.],[12.   12.   12.25]
[12],[15.44206112],[12],0.6,[10],0.2,0.3333333333333333,12.1,[1. 0. 0.],[12.  12.  12.3]
[12],[15.44206112],[13],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[14],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[15],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[16],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[17],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[18],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[19],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[20],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[21],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[22],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[23],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[24],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[25],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[26],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[27],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[28],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[29],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[12],[15.44206112],[30],0.6,[10],0.2,0.3333333333333333,12.0,[1. 0. 0.],[12. 12. 12.]
[13],[15.44206112],[10],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[11],0.6,[10],0.2,0.3333333333333333,13.066666666666668,[1. 0. 0.],[13.  13.  13.2]
[13],[15.44206112],[12],0.6,[10],0.2,0.3333333333333333,13.066666666666668,[1. 0. 0.],[13.  13.  13.2]
[13],[15.44206112],[13],0.6,[10],0.2,0.3333333333333333,13.083333333333334,[1. 0. 0.],[13.   13.   13.25]
[13],[15.44206112],[14],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[15],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[16],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[17],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[18],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[19],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[20],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[21],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[22],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[23],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[24],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[25],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[26],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[27],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[28],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[29],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[13],[15.44206112],[30],0.6,[10],0.2,0.3333333333333333,13.0,[1. 0. 0.],[13. 13. 13.]
[14],[15.44206112],[10],0.6,[10],0.2,0.14643316352002747,9.333333333333334,[0.43929949 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[11],0.6,[10],0.2,0.3333333333333333,9.516666666666667,[1. 0. 0.],[14.55 14.    0.  ]
[14],[15.44206112],[12],0.6,[10],0.2,0.12262648039048078,9.35,[0.36787944 0.         0.        ],[14.05 14.    0.  ]
[14],[15.44206112],[13],0.6,[10],0.2,0.12262648039048078,9.35,[0.36787944 0.         0.        ],[14.05 14.    0.  ]
[14],[15.44206112],[14],0.6,[10],0.2,0.12262648039048078,9.5,[0.36787944 0.         0.        ],[14.5 14.   0. ]
[14],[15.44206112],[15],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[16],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[17],0.6,[10],0.2,0.12262648039048078,9.633333333333333,[0.36787944 0.         0.        ],[14.9 14.   0. ]
[14],[15.44206112],[18],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[19],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[20],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[21],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[22],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[23],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[24],0.6,[10],0.2,0.12262648039048078,9.549999999999999,[0.36787944 0.         0.        ],[14.65 14.    0.  ]
[14],[15.44206112],[25],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[26],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[27],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[28],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[29],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[14],[15.44206112],[30],0.6,[10],0.2,0.047960640736159944,9.333333333333334,[0.14388192 0.         0.        ],[14. 14.  0.]
[15],[15.44206112],[10],0.6,[10],0.2,0.0010082872229220362,10.0,[0.00302486 0.         0.        ],[15. 15.  0.]
[15],[15.44206112],[11],0.6,[10],0.2,0.00038795980013518614,10.0,[0.00116388 0.         0.        ],[15. 15.  0.]
[15],[15.44206112],[12],0.6,[10],0.2,0.00013309817253358955,10.0,[0.00039929 0.         0.        ],[15. 15.  0.]
